"longitude","latitude","cluster"
-96.675693,33.624524,3
-81.215324,36.652229,7
-98.530565,41.567571,2
-89.605074,42.675522,2
-88.97038,43.780247,2
-80.45059,37.924418,7
-87.9642,32.844497,7
-90.566346,36.120607,7
-83.166625,33.576704,7
-94.388727,42.042513,2
-90.387682,39.355439,2
-87.004771,39.047147,2
-93.340641,37.258196,2
-88.634811,31.212845,7
-77.681688,35.481959,7
-74.142025,42.279821,6
-83.894894,39.687479,2
-80.225655,39.847707,6
-82.847523,36.179487,7
-78.470163,38.297981,6
-109.242323,33.238872,4
-77.560277,36.680336,6
-82.372077,34.892645,7
-82.127876,34.155796,7
-99.552968,34.933853,3
-94.816277,32.486401,3
-99.206591,43.175142,2
-89.80274,33.770031,7
-98.232286,47.456334,2
-95.988082,30.543231,3
-92.790244,42.403339,2
-88.401054,41.29241,2
-93.565054,40.112541,2
-85.710374,35.393352,7
-104.784968,34.869782,3
-97.948995,29.582671,3
-81.497875,40.056665,6
-79.788665,36.079065,7
-85.272013,29.859238,5
-107.05688,38.670499,1
-94.501272,41.683573,2
-84.025735,33.958756,7
-101.540856,44.288097,1
-83.525875,34.634392,7
-87.623061,32.752796,7
-101.822888,34.068436,3
-77.644842,36.251438,6
-78.939614,36.766461,7
-83.8185,34.317569,7
-98.502664,40.866027,2
-100.576343,34.453189,3
-83.266071,36.218397,7
-82.951116,30.498438,5
-93.70913,42.390789,2
-88.539009,38.085227,2
-86.021709,40.053513,2
-98.022329,40.872817,2
-74.502456,43.657879,6
-84.544187,39.196927,2
-85.201843,35.163472,7
-98.111756,31.707342,3
-97.178598,44.680619,2
-72.635648,42.136198,6
-72.663694,42.339459,6
-78.611989,39.312139,6
-81.143822,32.778334,7
-83.000465,33.26922,7
-93.743697,43.075411,2
-91.168801,40.401318,2
-85.77315,39.822529,2
-89.482791,30.391641,7
-83.665947,41.000217,2
-83.227493,36.521353,7
-80.570164,40.516958,6
-99.004575,44.546713,2
-77.491317,37.760215,6
-101.35693,36.272847,3
-97.796845,43.680612,2
-85.220063,33.795165,7
-81.82158,27.492846,5
-88.988697,35.218785,7
-99.745697,34.289904,3
-93.241669,42.390208,2
-88.266148,37.517852,2
-83.664077,40.660415,2
-88.185696,35.201893,7
-94.393178,30.329648,3
-103.853424,35.859352,3
